Analyse de l'image : IMG_20190829_140446.jpg
Résultats de la prédiction :
- Classe 0 : 0.00%
- Classe 1 : 0.00%
- Classe 2 : 0.00%
- Classe 3 : 0.00%
- Classe 4 : 0.00%
- Classe 5 : 0.00%
- Classe 6 : 0.00%
- Classe 7 : 0.00%
- Classe 8 : 0.00%
- Classe 9 : 0.00%
- Classe 10 : 0.00%
- Classe 11 : 0.00%
- Classe 12 : 0.00%
- Classe 13 : 0.00%
- Classe 14 : 0.00%
- Classe 15 : 0.00%
- Classe 16 : 0.00%
- Classe 17 : 0.00%
- Classe 18 : 0.00%
- Classe 19 : 0.00%
- Classe 20 : 0.00%
- Classe 21 : 0.00%
- Classe 22 : 0.00%
- Classe 23 : 0.00%
- Classe 24 : 0.00%
- Classe 25 : 0.00%
- Classe 26 : 0.00%
- Classe 27 : 0.00%
- Classe 28 : 0.00%
- Classe 29 : 0.00%
- Classe 30 : 0.00%
- Classe 31 : 0.00%
- Classe 32 : 0.00%
- Classe 33 : 0.00%
- Classe 34 : 0.00%
- Classe 35 : 0.00%
- Classe 36 : 0.00%
- Classe 37 : 0.00%
- Classe 38 : 0.00%
- Classe 39 : 0.00%
- Classe 40 : 0.00%
- Classe 41 : 0.00%
- Classe 42 : 0.00%
- Classe 43 : 0.00%
- Classe 44 : 0.00%
- Classe 45 : 0.00%
- Classe 46 : 0.00%
- Classe 47 : 0.00%
- Classe 48 : 0.00%
- Classe 49 : 0.00%
- Classe 50 : 0.00%
- Classe 51 : 0.00%
- Classe 52 : 0.00%
- Classe 53 : 0.00%
- Classe 54 : 0.00%
- Classe 55 : 0.00%
- Classe 56 : 0.00%
- Classe 57 : 0.00%
- Classe 58 : 0.00%
- Classe 59 : 0.00%
- Classe 60 : 0.00%
- Classe 61 : 0.00%
- Classe 62 : 0.00%
- Classe 63 : 0.00%
- Classe 64 : 0.00%
- Classe 65 : 0.00%
- Classe 66 : 0.00%
- Classe 67 : 0.00%
- Classe 68 : 0.00%
- Classe 69 : 0.00%
- Classe 70 : 0.00%
- Classe 71 : 0.00%
- Classe 72 : 0.00%
- Classe 73 : 0.00%
- Classe 74 : 0.00%
- Classe 75 : 0.00%
- Classe 76 : 0.00%
- Classe 77 : 0.00%
- Classe 78 : 0.00%
- Classe 79 : 0.00%
- Classe 80 : 0.00%
- Classe 81 : 0.00%
- Classe 82 : 0.00%
- Classe 83 : 0.00%
- Classe 84 : 0.00%
- Classe 85 : 0.00%
- Classe 86 : 0.00%
- Classe 87 : 0.00%
- Classe 88 : 0.00%
- Classe 89 : 0.00%
- Classe 90 : 0.00%
- Classe 91 : 0.00%
- Classe 92 : 0.00%
- Classe 93 : 0.00%
- Classe 94 : 0.00%
- Classe 95 : 0.00%
- Classe 96 : 0.00%
- Classe 97 : 0.00%
- Classe 98 : 0.00%
- Classe 99 : 0.00%
- Classe 100 : 0.00%
- Classe 101 : 0.00%
- Classe 102 : 0.00%
- Classe 103 : 0.00%
- Classe 104 : 0.00%
- Classe 105 : 0.00%
- Classe 106 : 0.00%
- Classe 107 : 0.00%
- Classe 108 : 0.00%
- Classe 109 : 0.00%
- Classe 110 : 0.00%
- Classe 111 : 0.00%
- Classe 112 : 0.00%
- Classe 113 : 0.00%
- Classe 114 : 0.00%
- Classe 115 : 0.00%
- Classe 116 : 0.00%
- Classe 117 : 0.00%
- Classe 118 : 0.00%
- Classe 119 : 0.00%
- Classe 120 : 0.00%
- Classe 121 : 0.00%
- Classe 122 : 0.00%
- Classe 123 : 0.00%
- Classe 124 : 0.00%
- Classe 125 : 0.00%
- Classe 126 : 0.00%
- Classe 127 : 0.00%
- Classe 128 : 0.00%
- Classe 129 : 0.00%
- Classe 130 : 0.00%
- Classe 131 : 0.00%
- Classe 132 : 0.00%
- Classe 133 : 0.00%
- Classe 134 : 0.00%
- Classe 135 : 0.00%
- Classe 136 : 0.00%
- Classe 137 : 0.00%
- Classe 138 : 0.00%
- Classe 139 : 0.00%
- Classe 140 : 0.00%
- Classe 141 : 0.00%
- Classe 142 : 0.00%
- Classe 143 : 0.00%
- Classe 144 : 0.00%
- Classe 145 : 0.00%
- Classe 146 : 0.00%
- Classe 147 : 0.00%
- Classe 148 : 0.00%
- Classe 149 : 0.00%
- Classe 150 : 0.00%
- Classe 151 : 0.00%
- Classe 152 : 0.00%
- Classe 153 : 0.00%
- Classe 154 : 0.00%
- Classe 155 : 0.00%
- Classe 156 : 0.00%
- Classe 157 : 0.00%
- Classe 158 : 0.00%
- Classe 159 : 0.00%
- Classe 160 : 0.00%
- Classe 161 : 0.00%
- Classe 162 : 0.00%
- Classe 163 : 0.00%
- Classe 164 : 0.00%
- Classe 165 : 0.00%
- Classe 166 : 0.00%
- Classe 167 : 0.00%
- Classe 168 : 0.00%
- Classe 169 : 0.00%
- Classe 170 : 0.00%
- Classe 171 : 0.00%
- Classe 172 : 0.00%
- Classe 173 : 0.00%
- Classe 174 : 0.00%
- Classe 175 : 0.00%
- Classe 176 : 0.00%
- Classe 177 : 0.00%
- Classe 178 : 0.00%
- Classe 179 : 0.00%
- Classe 180 : 0.00%
- Classe 181 : 0.00%
- Classe 182 : 0.00%
- Classe 183 : 0.00%
- Classe 184 : 0.00%
- Classe 185 : 0.00%
- Classe 186 : 0.00%
- Classe 187 : 0.00%
- Classe 188 : 0.00%
- Classe 189 : 0.00%
- Classe 190 : 0.00%
- Classe 191 : 0.00%
- Classe 192 : 0.00%
- Classe 193 : 0.00%
- Classe 194 : 0.00%
- Classe 195 : 0.00%
- Classe 196 : 0.00%
- Classe 197 : 0.00%
- Classe 198 : 0.00%
- Classe 199 : 0.00%
- Classe 200 : 0.00%
- Classe 201 : 0.00%
- Classe 202 : 0.00%
- Classe 203 : 0.00%
- Classe 204 : 0.00%
- Classe 205 : 0.00%
- Classe 206 : 0.00%
- Classe 207 : 0.00%
- Classe 208 : 0.00%
- Classe 209 : 0.00%
- Classe 210 : 0.00%
- Classe 211 : 0.00%
- Classe 212 : 0.00%
- Classe 213 : 0.00%
- Classe 214 : 0.00%
- Classe 215 : 0.00%
- Classe 216 : 0.00%
- Classe 217 : 0.00%
- Classe 218 : 0.00%
- Classe 219 : 0.00%
- Classe 220 : 0.00%
- Classe 221 : 0.00%
- Classe 222 : 0.00%
- Classe 223 : 0.00%
- Classe 224 : 0.00%
- Classe 225 : 0.00%
- Classe 226 : 0.00%
- Classe 227 : 0.00%
- Classe 228 : 0.00%
- Classe 229 : 0.00%
- Classe 230 : 0.00%
- Classe 231 : 0.00%
- Classe 232 : 0.00%
- Classe 233 : 0.00%
- Classe 234 : 0.00%
- Classe 235 : 0.00%
- Classe 236 : 0.00%
- Classe 237 : 0.00%
- Classe 238 : 0.00%
- Classe 239 : 0.00%
- Classe 240 : 0.00%
- Classe 241 : 0.00%
- Classe 242 : 0.00%
- Classe 243 : 0.00%
- Classe 244 : 0.00%
- Classe 245 : 0.00%
- Classe 246 : 0.00%
- Classe 247 : 0.00%
- Classe 248 : 0.00%
- Classe 249 : 0.00%
- Classe 250 : 0.00%
- Classe 251 : 0.00%
- Classe 252 : 0.00%
- Classe 253 : 0.00%
- Classe 254 : 0.00%
- Classe 255 : 0.00%
- Classe 256 : 0.00%
- Classe 257 : 0.00%
- Classe 258 : 0.00%
- Classe 259 : 0.00%
- Classe 260 : 0.00%
- Classe 261 : 0.00%
- Classe 262 : 0.00%
- Classe 263 : 0.00%
- Classe 264 : 0.00%
- Classe 265 : 0.00%
- Classe 266 : 0.00%
- Classe 267 : 0.00%
- Classe 268 : 0.00%
- Classe 269 : 0.00%
- Classe 270 : 0.00%
- Classe 271 : 0.00%
- Classe 272 : 0.00%
- Classe 273 : 0.00%
- Classe 274 : 0.00%
- Classe 275 : 0.00%
- Classe 276 : 0.00%
- Classe 277 : 0.00%
- Classe 278 : 0.00%
- Classe 279 : 0.00%
- Classe 280 : 0.00%
- Classe 281 : 0.00%
- Classe 282 : 0.00%
- Classe 283 : 0.00%
- Classe 284 : 0.00%
- Classe 285 : 0.00%
- Classe 286 : 0.00%
- Classe 287 : 0.00%
- Classe 288 : 0.00%
- Classe 289 : 0.00%
- Classe 290 : 0.00%
- Classe 291 : 0.00%
- Classe 292 : 0.00%
- Classe 293 : 0.00%
- Classe 294 : 0.00%
- Classe 295 : 0.00%
- Classe 296 : 0.00%
- Classe 297 : 0.00%
- Classe 298 : 0.00%
- Classe 299 : 0.00%
- Classe 300 : 0.00%
- Classe 301 : 0.00%
